Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.35684888
376,0,0,214.6,0,1003.5,762.36,28,31.97100212
359,19,141,154,10.91,942,801,28,59.49488404
336,0,0,182,3,986,817,28,44.86420332
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856
385,0,0,186,0,966,763,7,23.22155168
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.10006412
332.5,142.5,0,228,0,932,594,90,37.72192144
193.5,290.2,0,185.7,0,998.2,704.3,28,32.6266938
322.2,0,115.6,196,10.4,817.9,813.4,28,31.1787942
144,0,175,158,18,943,844,28,15.41668336
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19814956
359,19,141,154,10.91,942,801,3,23.63917715
153,145,0,178,8,1000,822,28,19.00885332
298.2,0,107,209.7,11.1,879.6,744.2,28,31.87516496
326,166,0,174,9,882,790,28,61.23236356
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.84871504
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.20022796
475,0,59,142,1.9,1098,641,28,57.226508
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622
289,0,0,192,0,913.2,895.3,3,11.6549023
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.41564416
349,0,0,192,0,1056,809,120,40.85834776
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
337.9,189,0,174.9,9.5,944.7,755.8,28,49.89737812
190,190,0,228,0,932,670,180,46.93194184
307,0,0,193,0,968,812,28,27.53077668
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.56974703
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
254,0,0,198,0,968,863,3,9.307926
290.35,0,96.18,168.08,9.41,961.18,865,14,34.67374804
288,192,0,192,0,932,717.8,7,23.52354217
349,0,0,192,0,1047,806,180,41.05140104
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
153.1,145,113,178.5,8,867.2,824,28,26.23318285
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
522,0,0,146,0,896,896,7,50.51101176
165,0.02,143.57,163.81,0,1005.6,900.9,100,37.9556538
173,116,0,192,0,946.8,856.8,28,24.28196577
157,236,0,192,0,935.4,781.2,28,33.66435518
349,0,0,192,0,1047,806,7,18.12632404
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.59648684
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19451236
469,117.2,0,137.8,32.2,852.1,840.5,56,69.29923276
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312
491,26,123,201,3.93,822,699,28,57.915984
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.7135578
252.31,0,98.75,146.25,14.17,987.76,889.01,3,21.78054684
108.3,162.4,0,203.5,0,938.2,849,28,20.59395864
385,0,0,186,0,966,763,14,27.923778
136,162,126,172,10,923,764,28,29.06830816
322,149,0,186,8,951,709,28,52.42086028
152,0,112,184,8,992,816,28,12.17614616
296,0,107,221,11,819,778,28,31.41942132
157,214,152,200,9,819,704,28,33.05347944
238.1,0,0,185.7,0,1118.8,789.3,28,17.57612219
531.3,0,0,141.8,28.2,852.1,893.7,3,41.2996124
374,0,0,190,7,1013,730,28,39.05192064
236,157,0,192,0,972.6,749.1,90,47.78206575
156,178,187,221,7,854,614,28,29.41304616
313,0,113,178,8,1002,689,28,36.80422888
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
310,0,0,192,0,1012,830,28,27.82725136
393,0,0,192,0,940,758,3,19.10537996
297,0,0,186,0,1040,734,7,30.9574724
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.50475644
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92265885
304,76,0,228,0,932,670,90,49.18514941
296,0,0,186,0,1090,769,28,25.17966352
397,17.2,158,167,20.8,967,633,28,55.64760796
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.85991653
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.40123514
192,288,0,192,0,929.8,716.1,3,12.78840085
250,0,95.69,187.42,5.53,956.86,861.17,28,29.21999288
491,26,123,210,3.93,882,699,28,55.55108132
446,24,79,162,11.61,967,712,3,35.36322404
305.3,203.5,0,203.5,0,965.4,631,28,43.37700359
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
427.5,47.5,0,228,0,932,594,90,41.54299743
389.9,189,0,145.9,22,944.7,755.8,7,59.09498796
380,0,0,228,0,932,670,365,52.51669744
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.48329276
254,0,0,198,0,968,863,365,29.7853632
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
252.5,0,0,185.7,0,1111.6,784.3,28,19.76520849
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.82696164
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73031499
284,15,141,179,5.46,842,801,3,13.39553372
198.6,132.4,0,192,0,978.4,825.5,180,41.71950328
277,0,0,191,0,968,856,14,21.26343984
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
389.9,189,0,145.9,22,944.7,755.8,28,74.4978818
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,42.21661548
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
427.5,47.5,0,228,0,932,594,28,37.42751518
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
310,0,0,192,0,1012,830,7,17.24379476
198.6,132.4,0,192,0,978.4,825.5,7,14.63826496
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36339392
277,117,91,191,7,946,666,28,43.5748832
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.28766142
237.5,237.5,0,228,0,932,594,7,26.25800398
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.62980142
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.79827342
250,0,0,182,0,1100,820,28,20.87043852
255,0,0,192,0,889.8,945,28,18.74616296
446,24,79,162,11.64,967,712,3,23.34565736
333,0,0,192,0,931.2,842.6,7,23.4049523
190,190,0,228,0,932,670,270,50.65511224
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.81657944
516,0,0,162,8.2,801,802,28,41.36856
155,0,143,193,9,877,868,28,9.73540112
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.03045696
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904
382,0,0,185,0,1047,739,28,37.42475728
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.18278112
200,133,0,192,0,965.4,806.2,3,11.41427518
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.23621052
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,37.6798634
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
148,0,182,181,15,839,884,28,15.52010476
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348028
289,134,0,195,6,924,760,28,46.24315532
157,236,0,192,0,935.4,781.2,7,16.8894041
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,10.76272036
144,170,133,192,8,814,805,28,29.86810032
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
139.6,209.4,0,192,0,1047,806.9,28,28.23748958
350,0,0,203,0,974,775,56,29.97841648
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
252.31,0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
322,0,0,203,0,974,800,14,20.77391188
190.68,0,125.4,162.14,7.77,1090,804.01,3,15.04436632
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
393,0,0,192,0,940.6,785.6,28,39.60488039
183.9,122.6,0,203.5,0,959.2,800,7,10.7875415
141.3,212,0,203.5,0,971.8,748.5,3,4.827710952
250.2,166.8,0,203.5,0,977.6,694.1,90,47.7144971
310,0,0,192,0,970,850,28,27.923778
200,0,0,180,0,1125,845,28,12.24509376
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68108245
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46132942
491,26,123,201,3.93,822,699,7,37.92118
142,167,130,174,11,883,785,28,44.6090972
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
500,0,0,151,9,1033,655,28,69.83702404
331,0,0,192,0,1025,821,90,37.91428524
397,0,0,185.7,0,1040.6,734.3,7,25.44786968
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.14025352
337.9,189,0,174.9,9.5,944.7,755.8,91,67.79617508
148,0,137,158,16,1002,830,28,17.95395504
300,0,120,212,10,878,728,28,23.83518532
153,102,0,192,0,888,943.1,28,17.96429718
236,0,0,193,0,968,885,180,24.10408096
236,0,0,193,0,968,885,7,9.99050724
387,20,94,157,14.32,938,845,28,50.23522136
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
225,0,0,181,0,1113,833,28,17.3403214
427.5,47.5,0,228,0,932,594,180,41.8367142
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.59882504
475,0,0,162,9.5,1044,662,28,58.52272288
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.72606826
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05167081
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.49566344
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
153,102,0,192,0,888,943.1,90,26.32281473
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016
251.37,0,118.27,192.94,5.75,1043.6,754.3,100,40.14818748
156,243,0,180,11,1022,698,28,37.36270444
261,100,78,201,9,864,761,28,32.39847724
236,157,0,192,0,972.6,749.1,28,32.88455782
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984
277,0,0,191,0,968,856,180,32.32952964
349,0,0,192,0,1056,809,7,9.01145132
387,20,94,157,13.93,938,845,7,45.89841732
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69782984
265,111,86,195,6,833,790,28,41.540929
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
153,145,113,178,8,1002,689,28,25.55887532
387,20,94,157,13.93,938,845,3,25.510612
220.8,147.2,0,185.7,0,1055,744.3,7,13.08901238
236,0,0,194,0,968,885,14,12.83804312
233.81,0,94.58,197.89,4.567,947.04,852.16,100,34.55653712
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90037588
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.60973664
116,173,0,192,0,909.8,891.9,90,31.0236621
446,24,79,162,11.64,967,712,3,25.02108404
153,102,0,192,0,888,943.1,7,8.374375496
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
165,0,150,182,12,1023,729,28,18.0297974
159,209,161,201,7,848,669,28,30.88163004
198.6,132.4,0,192,0,978.4,825.5,90,38.07424367
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,15.43736764
425,106.3,0,151.4,18.6,936,803.7,7,46.80163088
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.22532884
540,0,0,173,0,1125,613,14,59.76377968
381.4,0,0,185.7,0,1104.6,784.3,28,22.48932817
310,0,0,192,0,970,850,180,37.32823064
281,0,0,186,0,1104,774,28,22.43554904
159,187,0,176,11,990,789,28,32.76389952
289,0,0,192,0,913.2,895.3,28,25.57335432
313.3,145,0,178.5,8,1001.9,688.7,28,41.05346947
289,0,0,192,0,913.2,895.3,90,32.06821824
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.4595208
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
475,118.8,0,181.1,8.9,852.1,781.5,3,37.79707432
192,288,0,192,0,929.8,716.1,7,21.48062478
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.69660064
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
330.5,169.6,0,194.9,8.1,811,802.3,28,56.61907964
424,22,132,168,8.92,822,750,56,74.36491146
148.1,0,182.1,181.4,15,838.9,884.3,28,15.52631004
194.68,0,100.52,170.17,7.48,998,901.8,100,44.27814872
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.0662497
382,0,0,186,0,1111,784,7,11.46598588
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,53.65502232
250,0,95.69,187.42,5.53,956.86,861.17,100,42.34761592
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76226077
331,0,0,192,0,978,825,3,13.52062436
321,164,0,190,5,870,774,28,57.21271848
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
116,173,0,192,0,909.8,891.9,28,22.34798559
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69808964
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52471136
290.35,0,96.18,168.08,9.41,961.18,865,56,45.08483564
233.81,0,94.58,197.89,4.567,947.04,852.16,14,22.13907436
381.4,0,0,185.7,0,1104.6,784.3,7,14.54104884
213.74,0,174.74,154.79,10.16,1053.5,776.35,100,50.07664188
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
302,0,0,203,0,974,817,14,18.12632404
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.40055564
540,0,0,173,0,1125,613,7,52.61391356
166.8,250.2,0,203.5,0,975.6,692.6,28,33.94772981
313.3,145,0,178.5,8,867.2,824,28,40.92522693
295,0,0,185,0,1069,769,7,14.79615496
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208
141.3,212,0,203.5,0,971.8,748.5,28,29.89223198
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5009994
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.59680647
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52360218
167,187,195,185,7,898,636,28,23.8903434
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.14221208
315,137,0,145,5.9,1130,745,28,81.75116932
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
200,133,0,192,0,965.4,806.2,90,43.25082948
339,0,0,185,0,1069,754,28,31.84000168
139.6,209.4,0,192,0,1047,806.9,3,8.06342182
277,0,0,191,0,968,856,360,33.70158688
173,116,0,192,0,946.8,856.8,7,11.39221195
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
155,0,143,193,9,1047,697,28,12.45883132
446,24,79,162,11.61,967,712,28,57.02655996
296,0,0,186,0,1090,769,7,18.91232668
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
380,0,0,228,0,932,670,270,53.30063166
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956
266,114,0,228,0,932,670,180,48.69562145
380,0,0,228,0,932,670,90,52.90831981
190.34,0,125.18,166.61,9.88,1079,798.9,100,33.56369168
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
149,236,0,176,13,847,893,28,32.9569528
307,0,0,193,0,968,812,180,34.48758952
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.3314882
525,0,0,189,0,1125,613,270,67.11359384
380,95,0,228,0,932,594,270,41.15137506
186.2,124.1,0,185.7,0,1083.4,764.3,7,7.995853172
380,0,0,228,0,932,670,180,53.104131
355,19,97,145,13.13,967,871,28,44.02993736
349,0,0,192,0,1047,806,360,42.1269836
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87085822
202,11,141,206,1.72,942,801,28,21.96670536
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.98790924
397,0,0,185.7,0,1040.6,734.3,28,33.08243743
148,175,0,171,2,1000,828,28,26.91714304
250,0,95.69,191.84,5.33,948.9,857.2,56,39.64487
520,0,0,175,5.2,870,805,28,51.021224
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.79941252
255,0,0,192,0,889.8,945,90,21.8591471
194.68,0,100.52,170.17,7.48,998,901.8,56,43.38872468
275,0,0,183,0,1088,808,7,14.2032056
251.37,0,118.27,192.94,5.75,1043.6,754.3,14,20.72564856
200,0,0,180,0,1125,845,7,7.83934212
102,153,0,192,0,887,942,90,25.46096973
331,0,0,192,0,1025,821,28,31.74347504
212,0,124.78,159,7.84,1085.4,799.54,3,19.51906556
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,10.0318758
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.94290348
313,161,0,178,10,917,759,28,52.44154456
424,22,132,168,8.92,822,750,7,40.28509772
295.71,0,95.64,171.54,8.87,955.14,859.2,100,52.04164848
393,0,0,192,0,940.6,785.6,3,19.1991487
273,105,82,210,9,904,680,28,37.16965116
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.36152528
380,95,0,228,0,932,594,28,36.44776979
334,17.6,158,189,15.3,967,633,28,44.32641204
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
298,0,107,210,11,880,744,28,31.87447548
446,24,79,162,11.61,967,712,7,52.00717468
491,26,123,210,3.93,882,699,56,59.59042572
540,0,0,173,0,1125,613,28,67.30664712
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07313449
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
290.2,193.5,0,185.7,0,998.2,704.3,7,21.8591471
382.5,0,0,185.7,0,1047.8,739.3,7,24.0654703
160,128,122,182,6.4,824,879,28,39.39665864
164,163,128,197,8,961,641,28,27.234302
153,102,0,192,0,888,943.1,3,4.782205536
387,20,94,157,11.61,938,845,3,34.77027468
250,0,95.69,187.42,5.53,956.86,861.17,56,38.32797084
314,145,113,179,8,869,690,28,46.2293658
213.5,0,174.24,159.21,11.66,1043.6,771.9,100,52.95865156
313,145,0,178,8,1002,689,28,41.05140104
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.65436276
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.80073164
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
450.1,50,0,200,3,1124.4,613.2,28,39.37597436
424,22,132,178,8.48,882,750,3,32.01138572
500,0,0,200,0,1125,613,14,36.93522932
210.7,316.1,0,185.7,0,977,689.3,28,37.81362174
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74417449
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
475,118.8,0,181.1,8.9,852.1,781.5,56,72.29845336
284,119.7,0,168.3,7.2,970.4,794.2,28,40.9348796
280,129,100,172,9,825,805,28,52.82075636
141.3,212,0,203.5,0,971.8,748.5,90,39.6621069
135,0,166,180,10,961,805,28,13.29309728
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.83674412
